,id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
25,40017,22,55000,MORTGAGE,6.0,EDUCATION,E,8000,16.95,0.15,Y,3,0
26,55041,28,75000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,10000,14.27,0.13,N,8,0
27,58184,23,34000,RENT,5.0,EDUCATION,B,5000,10.65,0.15,N,4,1
28,4302,23,65000,RENT,5.0,VENTURE,A,5000,7.51,0.08,N,2,0
29,7127,28,34000,MORTGAGE,9.0,MEDICAL,C,4000,14.17,0.12,Y,8,1
30,16558,23,30000,RENT,2.0,MEDICAL,D,5000,16.32,0.17,Y,4,1
31,44398,32,24996,RENT,2.0,MEDICAL,B,6000,9.99,0.24,N,9,0
32,43786,29,69000,RENT,0.0,DEBTCONSOLIDATION,D,25000,15.2,0.37,Y,8,1
33,34555,27,60000,RENT,5.0,MEDICAL,B,10000,11.71,0.17,N,7,0
34,55578,33,46000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,7000,14.65,0.15,N,5,1
35,8992,23,80000,RENT,7.0,EDUCATION,A,8000,7.51,0.1,N,4,0
36,17516,28,36000,RENT,5.0,MEDICAL,B,12000,9.91,0.33,N,7,1
37,7363,22,30000,RENT,3.0,HOMEIMPROVEMENT,D,10000,13.24,0.33,Y,4,1
38,26897,25,24000,OWN,3.0,MEDICAL,A,5600,6.54,0.23,N,2,0
39,52889,28,48000,MORTGAGE,5.0,MEDICAL,B,5000,10.99,0.1,N,10,0
40,26943,25,40000,RENT,0.0,DEBTCONSOLIDATION,C,15250,13.98,0.38,Y,2,1
41,47775,25,70000,RENT,2.0,MEDICAL,B,4000,10.37,0.06,N,2,0
42,32577,23,80000,MORTGAGE,7.0,PERSONAL,A,9000,5.99,0.11,N,4,0
43,19580,35,33000,RENT,0.0,MEDICAL,C,7500,11.34,0.23,Y,6,1
44,44470,25,34000,RENT,3.0,MEDICAL,D,5500,15.7,0.16,N,3,1
45,3469,30,45000,RENT,3.0,DEBTCONSOLIDATION,B,4000,10.99,0.09,N,10,0
46,55497,23,48000,MORTGAGE,4.0,VENTURE,A,5000,8.49,0.1,N,4,0
47,21045,24,85000,MORTGAGE,8.0,EDUCATION,A,8400,6.62,0.1,N,4,0
48,10435,21,9600,RENT,1.0,PERSONAL,C,1000,12.68,0.1,N,2,0
49,9255,34,30000,RENT,0.0,HOMEIMPROVEMENT,B,5000,8.88,0.17,N,7,1
50,56568,22,64000,RENT,2.0,HOMEIMPROVEMENT,D,15000,14.09,0.23,N,3,1
51,27724,27,39996,RENT,11.0,DEBTCONSOLIDATION,C,6000,13.92,0.15,N,7,1
52,668,23,98000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,10000,6.62,0.1,N,2,1
53,54268,22,52800,MORTGAGE,0.0,DEBTCONSOLIDATION,A,14000,7.51,0.27,N,2,0
54,31199,25,65000,RENT,3.0,HOMEIMPROVEMENT,D,8000,16.77,0.12,Y,4,0
55,13413,22,60000,MORTGAGE,6.0,EDUCATION,A,2000,7.9,0.03,N,4,0
56,26061,27,65000,RENT,4.0,MEDICAL,A,10000,9.32,0.15,N,9,0
57,49386,49,62900,RENT,1.0,MEDICAL,D,8825,16.49,0.13,N,17,1
58,53963,26,42000,RENT,2.0,PERSONAL,B,20000,12.21,0.48,N,2,1
59,32760,27,55000,RENT,9.0,HOMEIMPROVEMENT,C,5000,14.79,0.09,Y,8,0
60,52874,24,48500,MORTGAGE,0.0,EDUCATION,C,6000,13.47,0.12,N,2,1
61,18047,32,62500,RENT,9.0,DEBTCONSOLIDATION,A,9800,7.88,0.16,N,9,0
62,12369,31,31000,RENT,3.0,HOMEIMPROVEMENT,D,12000,15.7,0.39,Y,5,1
63,26684,27,65000,RENT,11.0,PERSONAL,A,20000,6.54,0.31,N,7,1
64,32956,27,80000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,15000,13.49,0.19,Y,6,0
65,41487,22,50000,MORTGAGE,6.0,VENTURE,B,4500,11.49,0.09,N,2,0
66,36889,27,36000,MORTGAGE,5.0,VENTURE,A,4000,7.14,0.11,N,6,0
67,17046,22,36000,RENT,6.0,DEBTCONSOLIDATION,A,10000,7.29,0.28,N,4,1
68,46111,24,26400,RENT,2.0,MEDICAL,D,10000,12.92,0.38,Y,4,1
69,15177,41,70000,MORTGAGE,8.0,VENTURE,A,7550,5.79,0.11,N,12,0
70,45970,27,30000,RENT,1.0,MEDICAL,A,10000,7.29,0.33,N,5,1
71,23391,37,36000,RENT,21.0,EDUCATION,A,11200,7.88,0.31,N,17,1
72,22422,31,84000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,9000,7.66,0.11,N,5,0
73,36849,27,60000,RENT,5.0,PERSONAL,B,15000,11.71,0.25,N,9,0
74,51605,40,54000,RENT,1.0,EDUCATION,E,15250,16.7,0.28,N,14,1
75,18709,34,26000,RENT,4.0,HOMEIMPROVEMENT,A,7000,7.49,0.27,N,10,1
76,23494,43,55000,MORTGAGE,17.0,HOMEIMPROVEMENT,A,17500,8.94,0.31,N,13,0
77,18910,40,130000,MORTGAGE,8.0,VENTURE,C,5000,13.16,0.04,Y,13,0
78,4397,42,33000,RENT,1.0,VENTURE,D,5000,15.99,0.15,N,13,1
79,5850,26,54000,RENT,6.0,DEBTCONSOLIDATION,D,7000,15.65,0.13,Y,3,1
80,53932,24,17640,RENT,0.0,PERSONAL,D,4000,16.29,0.23,Y,4,1
81,13910,22,48000,OWN,6.0,EDUCATION,D,5000,14.96,0.1,Y,3,0
82,34203,23,78000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,5600,11.62,0.07,N,3,1
83,50775,37,60000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,12000,8.49,0.2,N,17,0
84,12564,28,78200,RENT,12.0,MEDICAL,E,20000,16.4,0.22,Y,5,1
85,57945,23,28800,RENT,7.0,MEDICAL,A,7200,8.9,0.25,N,2,1
86,41687,27,37200,RENT,3.0,MEDICAL,A,10000,7.49,0.27,N,10,0
87,55344,22,40000,RENT,1.0,VENTURE,B,5000,11.14,0.13,N,4,0
88,3155,22,73000,RENT,6.0,DEBTCONSOLIDATION,D,7000,16.29,0.1,Y,2,1
89,56159,31,121000,RENT,3.0,VENTURE,B,17600,10.75,0.14,N,5,0
90,2595,24,60000,RENT,0.0,VENTURE,A,20000,8.9,0.33,N,4,1
91,41771,32,65000,RENT,0.0,DEBTCONSOLIDATION,A,12000,8.49,0.18,N,7,0
92,15966,37,50000,RENT,1.0,DEBTCONSOLIDATION,A,10000,6.91,0.2,N,16,0
93,41329,23,30000,RENT,0.0,VENTURE,B,3300,10.38,0.11,N,3,0
94,50177,27,65000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,7000,10.99,0.11,N,5,0
95,35800,22,82000,MORTGAGE,6.0,PERSONAL,A,9000,7.29,0.11,N,2,0
96,20352,36,38000,RENT,2.0,MEDICAL,E,12800,17.04,0.34,Y,14,1
97,23955,25,54000,RENT,9.0,MEDICAL,B,20000,9.63,0.37,N,3,1
98,2030,28,30000,RENT,3.0,MEDICAL,B,8050,12.69,0.27,N,6,1
99,2122,23,40000,RENT,7.0,EDUCATION,B,15000,11.71,0.38,N,4,1
100,49540,40,77367,MORTGAGE,11.0,EDUCATION,A,1500,6.17,0.02,N,17,0
101,35332,23,39000,RENT,7.0,HOMEIMPROVEMENT,B,7000,11.71,0.18,N,2,1
102,29912,22,51480,MORTGAGE,4.0,MEDICAL,A,12000,7.88,0.23,N,3,0
103,21057,31,62000,RENT,4.0,VENTURE,B,12000,11.71,0.19,N,7,0
104,25921,32,53000,RENT,4.0,EDUCATION,B,15000,10.62,0.28,N,10,0
105,45385,25,59000,RENT,2.0,EDUCATION,D,25000,14.09,0.42,N,4,1
106,20452,28,84000,RENT,0.0,DEBTCONSOLIDATION,C,20000,13.92,0.24,N,6,1
107,29771,27,41000,MORTGAGE,11.0,DEBTCONSOLIDATION,D,9000,16.77,0.22,Y,7,1
108,37672,27,48000,RENT,3.0,MEDICAL,D,1400,15.62,0.03,Y,6,0
109,17573,22,44000,RENT,7.0,DEBTCONSOLIDATION,B,16200,11.99,0.38,N,4,1
110,53899,24,110000,RENT,0.0,VENTURE,A,12000,8.94,0.11,N,2,0
111,56354,31,54000,RENT,4.0,EDUCATION,B,20000,12.53,0.38,N,10,1
112,12448,22,29004,RENT,3.0,MEDICAL,B,1500,10.95,0.05,N,3,1
113,38320,22,60000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,10000,7.29,0.17,N,3,0
114,50391,21,33996,RENT,1.0,HOMEIMPROVEMENT,B,6000,9.88,0.18,N,2,1
115,4734,25,32000,RENT,4.0,MEDICAL,D,10000,15.33,0.31,Y,4,1
116,14215,21,24000,RENT,2.0,PERSONAL,A,1500,6.91,0.06,N,2,0
117,24828,23,102000,RENT,7.0,PERSONAL,B,25000,11.71,0.25,N,3,0
118,47985,31,50000,MORTGAGE,5.0,PERSONAL,A,5200,6.03,0.11,N,5,0
119,2483,24,40000,RENT,4.0,DEBTCONSOLIDATION,C,15000,14.27,0.38,Y,3,1
120,55608,24,24000,RENT,1.0,MEDICAL,B,10000,10.25,0.42,N,4,1
121,16666,22,50000,MORTGAGE,6.0,EDUCATION,A,6000,6.76,0.12,N,3,0
122,51919,24,55000,RENT,3.0,VENTURE,B,6000,11.12,0.11,N,2,0
123,36528,22,35004,RENT,0.0,PERSONAL,C,3500,14.72,0.1,Y,4,0
124,42627,24,29004,MORTGAGE,4.0,MEDICAL,D,5225,16.77,0.18,N,3,1
125,19612,41,39996,MORTGAGE,20.0,DEBTCONSOLIDATION,C,3600,12.99,0.09,Y,16,1
126,26441,30,60000,MORTGAGE,11.0,EDUCATION,A,15000,7.9,0.25,N,9,0
127,36825,44,49000,MORTGAGE,2.0,DEBTCONSOLIDATION,E,15000,16.63,0.31,Y,15,1
128,15216,22,40000,RENT,3.0,DEBTCONSOLIDATION,B,9500,11.71,0.24,N,4,1
129,36124,45,22000,RENT,2.0,HOMEIMPROVEMENT,A,10000,6.54,0.46,N,17,1
130,27412,24,84000,RENT,0.0,DEBTCONSOLIDATION,D,5000,14.96,0.06,N,3,1
131,3138,37,48500,RENT,0.0,DEBTCONSOLIDATION,A,5000,8.49,0.1,N,12,0
132,56297,27,80000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,9000,11.49,0.11,N,7,0
133,4698,37,40000,RENT,2.0,EDUCATION,E,11800,19.03,0.29,Y,13,1
134,26608,24,33600,RENT,2.0,DEBTCONSOLIDATION,B,5000,11.49,0.15,N,4,1
135,37699,22,29000,RENT,6.0,EDUCATION,A,11000,6.62,0.36,N,3,1
136,17351,23,54000,RENT,1.0,EDUCATION,G,5000,20.16,0.09,N,2,1
137,18408,33,140000,MORTGAGE,8.0,MEDICAL,A,18000,6.91,0.13,N,6,0
138,39886,34,83000,MORTGAGE,0.0,PERSONAL,A,2500,7.14,0.03,N,9,1
139,39798,24,70550,RENT,0.0,MEDICAL,E,14000,15.68,0.17,N,4,1
140,39537,23,60000,RENT,7.0,EDUCATION,B,10000,10.65,0.17,N,4,0
141,6418,24,80000,RENT,0.0,VENTURE,E,20000,16.0,0.25,Y,2,1
142,27401,27,38400,MORTGAGE,2.0,MEDICAL,B,5000,10.99,0.13,N,6,0
143,8294,27,75000,RENT,1.0,MEDICAL,C,6000,12.99,0.08,Y,5,0
144,54317,22,37392,RENT,3.0,MEDICAL,D,10800,14.11,0.28,N,2,1
145,33992,33,78000,MORTGAGE,4.0,PERSONAL,B,20000,11.49,0.26,N,9,0
146,18231,27,50000,RENT,0.0,HOMEIMPROVEMENT,B,4000,10.75,0.08,N,7,0
147,13294,27,150000,MORTGAGE,11.0,MEDICAL,A,20000,6.54,0.13,N,5,0
148,47727,22,52000,MORTGAGE,3.0,MEDICAL,D,8000,15.62,0.15,N,3,1
149,2998,25,64800,MORTGAGE,4.0,PERSONAL,B,4500,10.65,0.07,N,4,0
150,25846,24,30000,RENT,1.0,VENTURE,B,10000,9.99,0.33,N,4,1
151,9334,22,50000,MORTGAGE,2.0,VENTURE,A,10000,7.49,0.2,N,3,0
152,10506,23,46000,RENT,0.0,VENTURE,D,18000,15.95,0.4,N,4,1
153,45591,26,100000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,6000,5.42,0.06,N,2,0
154,3731,28,52500,RENT,0.0,MEDICAL,B,17000,10.95,0.32,N,7,1
155,21190,33,59617,RENT,4.0,MEDICAL,D,3600,15.33,0.06,N,9,1
156,47662,34,32400,RENT,1.0,MEDICAL,B,3000,11.49,0.09,N,9,0
157,34999,36,65000,MORTGAGE,2.0,VENTURE,A,8000,9.63,0.12,N,14,0
158,8406,23,44172,RENT,7.0,VENTURE,B,15000,11.12,0.34,N,4,1
159,31995,27,29120,RENT,0.0,EDUCATION,B,15000,10.99,0.52,N,9,1
160,38051,28,33000,RENT,1.0,EDUCATION,B,4800,12.42,0.15,N,8,0
161,6993,23,90000,MORTGAGE,7.0,PERSONAL,A,6000,5.42,0.07,N,3,0
162,53849,29,80000,MORTGAGE,1.0,PERSONAL,B,15000,10.37,0.19,N,9,0
163,24794,21,25000,RENT,0.0,HOMEIMPROVEMENT,B,7000,12.69,0.28,N,2,1
164,7724,28,30000,RENT,4.0,DEBTCONSOLIDATION,B,10000,11.99,0.33,N,5,1
165,55028,25,64000,RENT,6.0,HOMEIMPROVEMENT,A,4000,7.88,0.06,N,4,1
166,16568,34,48000,MORTGAGE,8.0,VENTURE,B,15000,10.99,0.31,N,10,0
167,1425,24,48000,RENT,8.0,DEBTCONSOLIDATION,C,10500,13.61,0.22,N,3,0
168,46056,22,45000,RENT,2.0,MEDICAL,D,19200,16.77,0.44,N,4,1
169,54218,26,52500,RENT,2.0,VENTURE,B,10000,11.48,0.18,N,2,0
170,55699,22,75000,RENT,2.0,EDUCATION,A,12000,6.92,0.16,N,2,0
171,38358,54,54400,RENT,2.0,MEDICAL,B,12000,10.99,0.19,N,19,1
172,30172,25,36000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,7500,6.03,0.21,N,4,0
173,34954,35,36000,RENT,5.0,VENTURE,B,15000,10.99,0.42,N,9,1
174,562,31,47000,RENT,0.0,PERSONAL,A,6000,9.63,0.13,N,6,1
175,36036,24,67150,MORTGAGE,1.0,MEDICAL,D,15000,14.11,0.19,Y,3,1
176,44259,24,80000,MORTGAGE,4.0,MEDICAL,A,12000,7.51,0.15,N,3,0
177,35465,21,52000,MORTGAGE,5.0,PERSONAL,C,18000,13.48,0.35,N,2,1
178,18913,31,42000,RENT,3.0,PERSONAL,D,7600,16.29,0.18,N,10,1
179,10544,30,54000,RENT,14.0,EDUCATION,B,19000,10.99,0.35,N,7,1
180,37777,23,72000,MORTGAGE,7.0,VENTURE,A,10000,7.51,0.14,N,2,0
181,25663,26,34000,MORTGAGE,10.0,HOMEIMPROVEMENT,C,4200,14.17,0.12,N,4,1
182,24019,24,48000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,4800,10.99,0.1,N,2,0
183,46630,22,30000,RENT,6.0,MEDICAL,C,10000,13.61,0.33,N,4,1
184,16164,39,60000,RENT,8.0,MEDICAL,A,10000,7.88,0.17,N,14,0
185,52170,32,64000,RENT,4.0,HOMEIMPROVEMENT,B,10000,11.14,0.16,N,10,1
186,16759,27,35000,RENT,4.0,EDUCATION,C,2400,13.61,0.07,Y,5,0
187,26892,41,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,7.9,0.14,N,15,0
188,29131,26,31200,OWN,10.0,PERSONAL,B,3000,10.75,0.1,N,4,0
189,24117,27,42000,RENT,3.0,DEBTCONSOLIDATION,D,12000,16.77,0.29,N,6,1
190,14825,33,18000,OWN,17.0,MEDICAL,B,7000,11.14,0.39,N,5,1
191,58196,23,78000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,5000,7.66,0.06,N,4,1
192,33136,32,45000,MORTGAGE,13.0,VENTURE,B,15200,11.48,0.33,N,9,0
193,45734,40,140000,MORTGAGE,8.0,EDUCATION,B,6000,9.64,0.04,N,13,0
194,54321,28,70000,RENT,5.0,PERSONAL,C,14000,12.68,0.2,N,10,0
195,14830,34,34000,RENT,5.0,DEBTCONSOLIDATION,A,6250,6.54,0.19,N,7,0
196,16103,22,43000,RENT,0.0,EDUCATION,B,2400,10.99,0.06,N,2,0
197,54481,24,108000,RENT,1.0,EDUCATION,D,25000,15.05,0.23,N,2,1
198,28188,23,85000,MORTGAGE,7.0,MEDICAL,B,4500,11.71,0.05,N,3,0
199,53095,29,60000,RENT,0.0,VENTURE,G,19750,23.22,0.33,Y,7,1
200,23900,47,42000,RENT,2.0,EDUCATION,A,4000,5.42,0.1,N,17,0
201,37649,23,30000,RENT,4.0,DEBTCONSOLIDATION,D,5000,16.77,0.17,N,3,1
202,42144,23,25000,RENT,2.0,DEBTCONSOLIDATION,B,8500,11.71,0.33,N,3,1
203,53589,26,50000,MORTGAGE,10.0,HOMEIMPROVEMENT,C,15000,13.57,0.3,N,2,0
204,33889,26,30400,RENT,6.0,VENTURE,D,10000,15.95,0.33,Y,3,1
205,11764,31,95000,MORTGAGE,4.0,VENTURE,A,14000,6.62,0.15,N,9,0
206,39269,45,12000,RENT,0.0,EDUCATION,C,3600,13.72,0.31,Y,12,1
207,4590,32,54000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,11000,6.62,0.2,N,10,0
208,24958,26,72000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,5000,5.42,0.07,N,4,0
209,13677,26,35000,RENT,3.0,MEDICAL,A,12325,6.54,0.34,N,2,1
210,51210,27,225000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,35000,9.99,0.15,N,9,0
211,14420,22,36000,RENT,0.0,DEBTCONSOLIDATION,D,2000,14.59,0.05,N,3,1
212,22627,30,35364,RENT,8.0,VENTURE,B,12000,9.91,0.33,N,9,1
213,21522,38,40000,MORTGAGE,6.0,VENTURE,B,3200,9.25,0.08,N,17,0
214,58502,25,34000,RENT,2.0,MEDICAL,D,10000,15.58,0.29,Y,3,1
215,26790,30,70000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,16000,14.65,0.23,N,9,0
216,23163,25,88000,RENT,9.0,HOMEIMPROVEMENT,D,15000,17.27,0.17,N,4,1
217,12729,40,32004,RENT,2.0,VENTURE,A,5000,9.32,0.16,N,14,0
218,19800,26,61200,RENT,3.0,MEDICAL,D,8000,17.49,0.11,Y,2,1
219,8118,27,70000,RENT,0.0,MEDICAL,B,4800,10.75,0.07,N,5,0
220,9229,69,51000,RENT,3.0,MEDICAL,D,13000,14.59,0.25,Y,23,0
221,18023,31,36300,RENT,6.0,HOMEIMPROVEMENT,A,13500,7.49,0.38,N,6,1
222,32566,31,78000,RENT,7.0,PERSONAL,C,10000,13.57,0.13,N,8,0
223,13256,22,48000,MORTGAGE,0.0,EDUCATION,A,15000,6.91,0.31,N,2,0
224,53618,22,36000,RENT,6.0,VENTURE,C,12000,13.16,0.35,Y,4,1
225,27365,35,90000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,7000,9.25,0.08,N,9,0
226,52308,22,86000,MORTGAGE,6.0,PERSONAL,A,6000,7.49,0.07,N,2,1
227,30574,26,29000,RENT,1.0,VENTURE,E,6000,14.5,0.21,Y,2,1
228,56894,27,144000,MORTGAGE,3.0,EDUCATION,A,35000,9.63,0.24,N,8,0
229,25992,26,84000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,6000,12.69,0.07,N,4,0
230,16684,36,90000,RENT,2.0,VENTURE,D,7000,15.62,0.08,N,14,1
231,30496,24,287300,RENT,5.0,EDUCATION,C,5000,14.22,0.02,Y,4,0
232,40514,34,40000,RENT,2.0,MEDICAL,A,3000,6.99,0.07,N,9,0
233,37679,22,48000,RENT,6.0,EDUCATION,C,8000,14.27,0.17,N,3,0
234,51405,22,39000,RENT,1.0,PERSONAL,D,5000,14.09,0.13,Y,4,1
235,8933,38,62000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,10000,5.99,0.16,N,14,0
236,19659,34,35000,RENT,2.0,EDUCATION,A,5000,8.9,0.14,N,6,1
237,53237,23,50400,RENT,7.0,EDUCATION,D,5000,14.09,0.1,Y,4,0
238,56436,24,30000,RENT,0.0,EDUCATION,A,8000,6.91,0.27,N,3,0
239,10764,40,34000,RENT,5.0,PERSONAL,B,10000,11.99,0.29,N,16,1
240,32209,22,54000,RENT,0.0,HOMEIMPROVEMENT,D,5000,15.99,0.09,Y,2,1
241,28613,25,32000,RENT,3.0,MEDICAL,A,4700,7.88,0.14,N,3,0
242,28808,30,49200,MORTGAGE,6.0,EDUCATION,A,4800,7.51,0.1,N,8,0
243,24914,22,45000,RENT,6.0,PERSONAL,D,2050,15.95,0.04,Y,4,0
244,36617,37,60000,MORTGAGE,11.0,VENTURE,C,5000,12.99,0.08,N,15,0
245,1586,26,44000,RENT,2.0,EDUCATION,B,5400,10.37,0.12,N,3,1
246,21170,33,45000,RENT,1.0,VENTURE,C,15000,13.16,0.33,N,10,1
247,207,23,38400,MORTGAGE,7.0,PERSONAL,C,15000,12.99,0.39,N,3,0
248,31299,26,138000,RENT,2.0,HOMEIMPROVEMENT,D,35000,14.91,0.25,Y,2,1
249,9987,28,24000,RENT,0.0,HOMEIMPROVEMENT,B,6000,10.59,0.25,N,8,1
250,32825,34,44000,MORTGAGE,5.0,PERSONAL,A,16000,8.49,0.36,N,6,0
251,43475,39,60000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,15000,12.53,0.25,N,15,0
252,11082,25,29004,RENT,0.0,PERSONAL,B,5000,9.88,0.17,N,3,1
253,37246,32,67000,RENT,3.0,EDUCATION,B,6400,9.99,0.1,N,8,0
254,49322,22,54000,RENT,2.0,EDUCATION,C,20000,13.79,0.36,Y,3,1
255,22040,29,90000,OWN,13.0,VENTURE,A,10000,7.14,0.11,N,6,0
256,37613,33,36000,OWN,3.0,VENTURE,A,7000,7.9,0.19,N,8,0
257,23685,25,48000,MORTGAGE,0.0,VENTURE,A,6000,5.99,0.13,N,3,0
258,55287,35,60000,RENT,3.0,MEDICAL,C,4000,13.98,0.07,N,7,0
259,12880,23,150000,MORTGAGE,7.0,EDUCATION,C,25000,13.61,0.17,N,4,0
260,40828,26,44000,RENT,3.0,VENTURE,D,1000,16.77,0.02,Y,3,1
261,33234,23,50250,RENT,0.0,VENTURE,A,4000,7.14,0.08,N,4,0
262,490,26,42000,RENT,0.0,DEBTCONSOLIDATION,E,7200,16.7,0.17,N,3,1
263,26457,39,60000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,20000,12.69,0.33,N,17,0
264,11859,28,78000,MORTGAGE,7.0,MEDICAL,A,5000,8.59,0.06,N,8,0
265,5057,24,55000,RENT,0.0,EDUCATION,B,8000,12.53,0.15,N,4,1
266,5206,28,50000,RENT,1.0,DEBTCONSOLIDATION,A,12000,9.63,0.24,N,10,0
267,16628,23,48000,RENT,8.0,PERSONAL,B,4000,10.37,0.08,N,2,1
268,56957,24,50000,RENT,1.0,DEBTCONSOLIDATION,C,6000,12.99,0.12,N,4,0
269,51991,27,39000,RENT,2.0,DEBTCONSOLIDATION,D,9000,16.0,0.24,N,9,1
270,12682,25,74004,RENT,1.0,EDUCATION,E,20000,15.95,0.27,N,3,1
271,18290,38,80000,OWN,8.0,PERSONAL,D,6000,14.96,0.07,Y,13,0
272,13812,24,18000,RENT,2.0,HOMEIMPROVEMENT,C,7600,13.06,0.42,Y,2,1
273,58223,28,40000,MORTGAGE,12.0,EDUCATION,A,1225,6.62,0.03,N,6,0
274,49108,26,90000,MORTGAGE,10.0,MEDICAL,A,5600,5.42,0.06,N,3,0
275,45367,26,100000,RENT,9.0,PERSONAL,B,15000,10.59,0.15,N,2,0
276,29484,44,75000,RENT,3.0,VENTURE,C,20000,13.16,0.27,N,16,1
277,53273,24,75000,MORTGAGE,8.0,PERSONAL,B,20000,10.36,0.27,N,4,0
278,23226,24,12000,RENT,2.0,EDUCATION,D,2000,15.65,0.17,Y,2,1
279,35691,23,36000,RENT,5.0,EDUCATION,D,12000,15.31,0.33,Y,3,0
280,54912,22,52769,RENT,4.0,PERSONAL,A,11000,7.9,0.21,N,2,0
281,8031,30,40000,RENT,0.0,HOMEIMPROVEMENT,B,7000,11.48,0.17,N,9,1
282,19606,37,75000,RENT,6.0,EDUCATION,C,12000,13.49,0.16,Y,11,0
283,15230,21,32400,MORTGAGE,5.0,HOMEIMPROVEMENT,C,2500,14.72,0.08,Y,3,1
284,23311,28,43000,RENT,6.0,MEDICAL,C,15000,14.26,0.37,N,10,1
285,26145,22,18000,RENT,2.0,DEBTCONSOLIDATION,C,3200,12.99,0.18,N,3,1
286,22538,31,40000,RENT,2.0,PERSONAL,A,5000,6.92,0.13,N,7,1
287,13192,27,48000,RENT,2.0,EDUCATION,C,12000,13.92,0.25,N,7,0
288,35177,37,90000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,12000,13.43,0.13,N,12,0
289,42052,24,43200,OWN,5.0,VENTURE,B,9000,12.69,0.21,N,3,0
