person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,loan_status
23,56000,2,1,1,6000,14.27,0.11,0
23,60000,2,0,1,6200,15.96,0.1,0
50,50000,0,3,0,4000,11.49,0.08,0
28,26785,1,1,2,8500,7.9,0.34,0
25,75000,2,5,0,5000,12.69,0.07,0
27,52800,1,3,1,14000,11.34,0.27,0
27,62400,2,2,0,12000,10.39,0.19,0
38,132000,2,5,5,20000,17.46,0.15,0
27,65000,0,1,0,12000,12.18,0.18,0
30,44004,0,2,0,11000,11.46,0.25,1
29,40000,2,5,2,8000,8.59,0.2,0
24,50000,0,5,2,10000,6.62,0.2,0
23,55000,0,2,1,12000,13.49,0.22,0
25,40000,0,1,1,9000,13.61,0.23,0
22,55000,2,1,2,6800,6.99,0.12,0
40,80750,2,1,3,20000,15.99,0.25,1
23,68000,0,0,3,5000,15.05,0.07,0
21,50004,2,3,0,3000,11.12,0.06,0
29,78996,0,2,3,12000,15.05,0.15,0
25,55000,2,0,0,2000,12.69,0.04,0
27,24000,0,2,0,8000,10.95,0.33,1
27,80000,0,2,4,6400,16.4,0.08,1
25,45000,1,3,0,7000,9.88,0.16,0
29,100000,2,4,1,35000,12.73,0.35,0
22,60000,0,0,2,12000,7.51,0.2,0
37,38400,1,0,1,9600,13.61,0.25,0
24,42000,2,4,1,6000,13.49,0.14,0
29,107500,2,1,2,10000,7.9,0.09,0
24,90000,0,2,0,16000,10.62,0.18,0
21,83000,2,0,3,12000,15.62,0.14,0
37,60000,2,5,2,5000,6.54,0.08,0
33,55000,2,1,0,3200,10.99,0.06,0
38,85000,1,3,1,10000,14.27,0.12,0
28,42000,0,3,0,4000,10.74,0.1,0
25,110000,0,3,0,10000,11.48,0.09,0
32,55000,2,3,3,12500,15.7,0.23,0
47,110000,2,1,2,10000,7.51,0.09,0
30,50000,0,1,0,10000,10.95,0.2,0
21,43000,2,3,2,5000,8.94,0.12,0
39,43200,0,1,2,10000,7.49,0.23,0
30,54000,0,3,0,12000,10.99,0.22,0
30,60000,0,2,3,10000,15.33,0.17,0
22,52273,0,0,0,4000,10.65,0.08,0
23,65000,0,0,1,8000,12.68,0.12,0
26,45000,2,5,2,8800,8.49,0.19,0
29,88000,0,2,2,4000,7.51,0.05,0
27,30000,1,2,1,8000,14.26,0.27,0
24,125000,2,5,4,30000,19.69,0.24,0
23,60000,0,0,2,3000,7.9,0.05,0
22,45000,0,1,2,7000,7.51,0.16,0
23,34296,0,4,0,12000,11.89,0.35,1
23,69500,0,3,1,12000,13.23,0.17,0
34,85000,2,0,0,20000,10.65,0.24,0
27,58000,2,5,2,3500,7.51,0.06,0
22,50000,0,0,0,5000,10.99,0.1,0
37,42000,0,2,0,1000,9.76,0.02,0
34,52000,0,5,3,6000,14.59,0.12,1
30,60000,2,2,0,2000,10.65,0.03,0
31,25000,0,5,1,9250,12.87,0.39,1
27,70000,2,0,2,6000,7.49,0.09,0
24,70000,2,5,0,16100,11.83,0.23,0
27,85000,2,2,2,10000,7.49,0.12,0
29,42000,2,0,0,3500,10.65,0.08,0
23,120000,2,3,2,5000,7.49,0.04,0
27,70000,2,4,2,5000,7.29,0.07,0
22,65000,2,0,2,10000,6.62,0.15,0
26,85000,0,4,2,9600,7.51,0.11,0
24,75000,2,1,0,10000,9.91,0.13,0
35,50000,2,4,2,10000,8.0,0.2,0
25,45000,0,3,0,10000,10.59,0.22,0
25,39204,2,2,2,7000,9.32,0.18,0
30,52500,2,2,2,15000,6.99,0.29,0
31,56000,0,1,0,2500,11.49,0.04,0
28,30000,0,2,3,7200,16.29,0.24,1
23,100000,2,3,2,14000,5.79,0.14,0
23,75000,0,3,0,1800,11.49,0.02,0
27,28800,1,5,0,3300,10.59,0.11,0
22,40000,0,3,2,3650,6.91,0.09,0
41,38400,0,4,1,10000,13.49,0.26,0
28,110000,2,1,2,15000,7.88,0.14,0
24,50000,0,3,0,12500,11.71,0.25,0
23,40000,0,0,0,7000,8.88,0.17,0
37,70000,2,5,0,4000,10.37,0.06,0
23,55000,0,4,0,6000,10.0,0.11,0
25,100300,0,1,3,8500,14.84,0.08,1
22,40000,0,2,1,16000,13.85,0.4,1
29,60000,0,0,2,7500,9.32,0.13,0
23,87360,0,4,0,9800,10.65,0.11,0
26,95000,2,2,0,17000,12.69,0.18,0
32,40000,0,2,0,1500,11.71,0.04,0
28,27600,1,1,0,6000,11.71,0.22,0
22,42000,1,3,0,2500,10.59,0.06,0
27,62000,0,4,0,10000,11.86,0.16,0
29,120000,2,1,2,3600,7.49,0.03,0
23,44000,0,0,4,8500,16.32,0.19,1
28,110000,2,5,2,12000,6.99,0.11,0
22,96000,2,0,2,4800,6.92,0.05,0
24,145000,2,0,2,6000,5.79,0.04,0
36,40000,0,3,0,7000,11.49,0.17,0
33,57000,0,1,2,6000,6.76,0.11,0
25,41600,2,3,0,13750,10.83,0.32,0
26,46500,2,4,0,10000,9.45,0.21,0
24,75000,0,5,0,20000,12.69,0.27,0
24,63000,2,2,2,12000,7.9,0.19,0
24,90000,2,1,0,12000,11.71,0.13,0
22,70000,2,2,3,3500,15.99,0.05,0
28,70000,2,0,2,3000,6.39,0.04,0
23,48000,2,3,0,4200,10.59,0.09,0
27,45000,0,0,0,7500,10.65,0.17,0
22,53000,0,4,1,6600,13.99,0.12,0
36,45000,2,1,2,6250,5.79,0.14,0
43,105201,2,3,1,15000,13.57,0.14,0
40,120000,2,5,2,6000,6.03,0.05,0
26,58650,2,2,3,5000,14.11,0.07,1
22,45000,2,3,2,4800,6.03,0.11,0
25,52000,0,0,1,6000,12.87,0.12,0
28,39500,0,1,2,5000,7.49,0.13,0
22,30000,0,3,0,5000,11.14,0.17,0
24,80000,0,0,0,2400,11.36,0.03,0
23,30000,0,5,2,11000,5.79,0.37,1
26,36000,0,0,2,13000,5.99,0.36,1
41,67000,2,2,4,10000,17.39,0.15,0
32,87000,2,4,2,10000,7.51,0.11,0
23,72000,2,0,2,12000,7.51,0.17,0
33,42000,2,1,2,12000,5.42,0.29,0
29,65000,2,2,3,24000,14.09,0.37,0
27,70000,2,1,2,10000,6.03,0.14,0
22,45000,2,3,2,4200,7.51,0.1,0
28,50000,0,1,2,6325,5.42,0.13,0
25,39000,0,1,3,6600,14.46,0.17,1
23,35000,0,0,0,5600,12.69,0.16,0
23,48000,0,1,0,4000,10.99,0.08,0
24,52000,0,3,2,10000,5.99,0.19,0
28,30000,0,4,2,8000,8.9,0.27,1
29,51992,2,2,1,15000,13.98,0.29,0
27,60000,2,0,0,6000,10.99,0.1,0
24,54000,0,5,1,17000,13.99,0.32,1
24,40000,0,1,0,5000,9.99,0.13,0
27,28800,0,3,2,2800,7.88,0.1,1
24,110000,0,1,1,8000,11.22,0.07,0
29,75000,0,1,0,7200,9.99,0.1,0
26,30000,0,1,0,6000,10.99,0.2,0
26,55000,2,3,2,12500,5.99,0.23,0
29,48000,2,4,0,5000,10.36,0.1,0
25,28800,1,3,2,9250,8.9,0.32,0
24,72000,2,2,2,8000,8.49,0.11,0
39,60000,2,5,3,4000,14.96,0.07,0
24,90000,2,0,0,5000,10.99,0.06,0
26,69600,2,3,2,5000,7.9,0.07,0
27,50000,2,4,1,5000,13.57,0.1,0
22,55200,2,0,0,7000,10.65,0.13,0
41,30000,1,2,1,8000,14.22,0.27,0
38,29120,0,0,0,5000,10.99,0.17,0
26,41600,0,1,2,6000,6.03,0.15,0
22,59500,2,0,1,11000,13.57,0.18,0
29,61656,0,3,0,15000,10.36,0.24,0
26,90000,0,2,0,7000,11.71,0.08,0
27,100000,2,4,2,16000,6.54,0.16,0
25,148080,0,5,1,20000,12.29,0.14,0
22,40000,0,0,0,9000,11.99,0.23,0
33,60000,2,4,0,12000,11.99,0.2,0
26,20000,0,3,2,5000,6.99,0.25,0
22,40000,1,3,2,5600,7.9,0.14,0
26,112689,2,2,0,24000,10.99,0.21,0
30,55000,2,2,2,10000,7.49,0.18,0
22,48000,2,0,1,5400,14.35,0.11,0
26,75000,0,4,1,12000,12.68,0.16,0
26,70000,0,4,1,5000,13.98,0.07,0
24,58650,0,1,3,10000,14.09,0.14,1
35,33600,0,1,2,3000,5.42,0.09,0
22,49000,0,2,3,12000,15.31,0.24,1
30,91800,2,1,0,8400,11.99,0.09,0
24,100000,2,3,3,14000,15.62,0.14,0
32,96000,0,0,0,17400,11.71,0.18,0
23,26000,0,0,3,2400,15.65,0.09,1
24,99518,2,2,2,8000,7.14,0.08,0
28,75000,0,4,2,10000,6.92,0.13,0
44,120000,2,3,0,6000,11.71,0.05,0
50,75000,0,0,2,20000,6.91,0.27,0
26,50000,0,1,0,5000,10.38,0.1,0
25,69743,2,3,0,3000,9.91,0.04,0
28,130000,2,2,3,25000,14.96,0.19,0
27,57996,0,0,0,4000,10.75,0.07,0
23,79650,0,2,4,6000,16.32,0.09,1
30,30000,2,5,0,5500,11.49,0.18,0
26,120000,0,4,0,30000,12.69,0.25,0
26,40000,0,0,0,5400,9.99,0.14,0
23,84000,0,0,2,6000,8.94,0.07,0
50,37000,2,2,2,7000,8.49,0.19,1
23,60000,2,0,0,5000,11.36,0.08,0
22,32000,0,1,0,5000,10.36,0.16,0
21,35004,0,3,2,11000,8.94,0.31,0
21,50000,1,3,1,7000,13.47,0.14,0
22,62000,2,0,2,6000,7.51,0.1,0
25,75000,0,1,2,9200,6.03,0.12,0
23,55000,0,0,2,10000,8.94,0.18,0
25,60000,2,2,2,8000,7.14,0.13,0
46,60000,2,2,0,4800,11.49,0.08,0
25,35000,0,2,3,3500,16.29,0.1,1
39,50000,1,2,2,16800,7.88,0.32,0
28,70000,2,4,2,15000,6.03,0.21,0
23,33600,0,0,1,4000,13.72,0.12,0
29,65000,2,2,2,5000,7.4,0.08,0
24,70000,0,1,1,7000,13.79,0.1,0
56,50000,0,2,1,3000,13.22,0.06,0
27,120000,2,5,2,16000,8.94,0.13,0
25,65000,0,0,1,6000,13.35,0.09,0
29,25000,0,3,1,5000,12.84,0.2,0
25,72000,0,5,1,25000,12.99,0.35,1
31,26400,0,3,2,6000,8.59,0.23,0
22,45000,0,0,0,5000,10.0,0.11,0
34,54990,0,2,1,10000,14.72,0.18,0
26,96000,2,4,1,10000,12.73,0.1,0
30,38000,1,1,1,13250,12.87,0.36,0
32,35000,1,0,0,8000,11.11,0.23,0
44,150000,2,4,1,21000,13.49,0.14,0
22,25000,0,4,0,9000,10.99,0.37,1
25,18000,0,1,0,1500,11.14,0.08,0
23,66000,2,0,0,10000,10.62,0.15,0
46,60000,0,5,1,4800,12.68,0.08,0
33,40000,2,2,2,10000,7.51,0.25,0
25,30000,0,1,2,5000,6.62,0.17,0
27,43000,2,4,2,6625,7.66,0.15,0
21,25000,1,2,0,3000,10.99,0.12,0
46,55900,0,0,0,17000,10.37,0.3,0
27,60000,2,4,2,10000,7.49,0.17,0
26,45000,0,2,2,12800,7.51,0.29,1
28,120000,1,2,2,15000,6.03,0.12,0
24,116664,0,0,0,10000,10.75,0.09,0
26,95000,2,0,0,7000,11.49,0.07,0
24,48000,2,3,0,5000,11.36,0.1,0
22,75000,2,0,1,20000,12.73,0.27,0
28,37800,2,5,2,7000,5.79,0.19,0
28,40000,0,0,2,7000,8.0,0.17,0
23,45000,0,0,3,8000,15.7,0.18,0
25,31200,0,4,0,15000,10.71,0.48,1
24,72000,2,2,0,12000,11.89,0.17,0
26,55000,0,3,0,8000,12.21,0.15,0
38,85000,0,2,1,10000,12.87,0.12,0
23,85000,0,0,2,10000,7.88,0.12,0
24,72000,0,2,1,15000,12.84,0.21,0
27,120000,0,1,3,12000,15.65,0.1,0
26,58195,0,2,0,11000,10.0,0.19,0
26,85000,2,1,2,10000,7.51,0.12,0
28,192000,2,5,1,20000,13.48,0.11,0
30,50000,0,3,2,20000,6.54,0.4,1
21,32000,2,3,0,2500,11.99,0.08,0
27,110000,2,5,1,6000,14.22,0.05,0
23,36000,2,3,1,10000,14.27,0.28,1
22,72000,2,4,2,7500,6.39,0.1,0
41,36000,2,4,1,5000,12.53,0.14,0
23,95000,2,4,1,12000,13.11,0.13,0
23,65000,2,4,0,10000,10.99,0.15,0
26,32400,0,4,2,4500,8.9,0.14,0
21,30000,0,0,2,4500,7.66,0.15,0
23,60000,0,0,2,6000,9.32,0.1,0
24,130000,0,3,1,15000,14.26,0.11,0
23,60000,1,0,1,15000,13.16,0.25,0
27,60000,0,1,1,10000,13.22,0.17,0
22,60000,2,1,0,15000,10.25,0.25,0
24,65004,2,0,2,6000,6.03,0.09,0
56,70000,2,2,2,13000,6.17,0.19,0
33,60000,2,0,2,2500,7.49,0.04,0
24,200100,2,4,2,30000,7.9,0.15,0
26,42000,0,4,4,7200,16.7,0.17,1
23,98000,1,3,2,10000,7.9,0.1,0
26,45600,2,1,2,1450,6.76,0.03,0
23,30000,0,0,1,7500,11.28,0.25,0
23,70000,0,4,0,7000,12.69,0.1,0
22,80000,1,1,0,15000,11.49,0.19,0
26,70000,2,5,3,4000,15.7,0.06,0
30,54000,0,2,1,10000,13.99,0.19,0
28,38500,2,4,2,7000,5.42,0.18,0
29,54000,2,2,1,10000,12.73,0.19,0
26,120000,0,1,0,10000,11.49,0.08,0
42,44964,0,0,2,5600,8.94,0.12,0
22,38000,2,3,2,7800,7.9,0.19,0
27,140000,2,1,0,8000,11.49,0.06,0
30,36000,0,1,1,5000,12.68,0.14,0
27,45000,2,1,2,6200,7.29,0.13,0
28,70000,2,5,0,12500,11.99,0.18,0
22,25200,0,5,0,10000,11.48,0.4,1
21,30000,0,4,5,8500,19.04,0.27,1
23,36600,2,0,0,3000,10.25,0.08,0
22,30000,0,3,3,5000,14.42,0.17,1
31,42000,0,1,2,8000,8.94,0.19,0
32,45000,0,0,0,8000,10.39,0.18,0
39,160000,2,3,2,15000,7.88,0.09,0
24,35000,0,1,1,8000,13.92,0.23,0
30,54792,0,4,1,5000,13.61,0.09,0
22,31200,0,2,0,6000,9.99,0.19,0
26,58000,2,3,1,13000,13.11,0.23,0
25,65000,0,3,4,15000,15.95,0.23,0
31,56524,0,5,0,25000,9.91,0.37,1
21,45000,2,4,0,15000,10.59,0.33,0
27,85000,0,4,2,3600,6.99,0.04,0
28,42000,0,3,0,12000,10.38,0.29,0
25,50000,0,0,1,2000,13.79,0.04,0
23,90000,2,3,1,6000,12.99,0.07,0
40,45792,0,2,3,16000,13.24,0.37,1
24,30000,0,1,1,7500,13.23,0.25,0
37,30636,0,1,0,10000,10.99,0.33,1
31,58000,2,1,2,3000,5.42,0.05,0
29,67000,0,2,1,15900,13.04,0.23,0
25,53004,0,1,0,10000,11.86,0.19,0
22,45900,0,4,1,8400,13.79,0.18,0
22,66800,0,2,3,9500,16.29,0.14,0
36,75000,0,2,1,10000,13.49,0.13,0
27,108000,0,5,3,10000,13.12,0.09,0
26,40000,2,2,2,10000,5.99,0.25,0
23,69500,1,3,0,15000,10.65,0.22,0
22,49000,0,0,0,6000,10.36,0.12,0
23,55000,2,0,0,3250,10.62,0.06,0
30,125000,2,4,0,7200,11.71,0.06,0
23,30000,0,1,3,5000,15.99,0.17,1
29,85000,2,2,0,15000,10.59,0.18,0
25,48000,0,5,0,6000,11.49,0.13,1
26,36000,0,0,2,6725,7.9,0.19,1
26,47000,2,0,2,6000,7.14,0.13,0
27,60000,2,1,0,4000,10.65,0.07,0
23,72000,2,3,2,10000,7.88,0.14,0
56,51600,0,2,0,15000,10.37,0.29,0
25,60000,0,2,2,7000,7.14,0.12,0
25,49270,0,5,1,10000,13.22,0.2,1
24,30000,0,2,0,2000,9.99,0.07,0
22,54996,0,4,0,2500,11.12,0.05,0
25,48000,0,0,2,4500,7.49,0.09,0
32,80000,2,5,0,25000,11.12,0.31,0
23,50000,1,2,2,4900,8.94,0.1,0
24,60000,1,1,2,5000,5.42,0.08,0
22,91800,2,1,3,16800,15.62,0.17,1
27,140987,2,1,2,6450,5.99,0.05,0
22,43000,0,0,1,10000,14.65,0.23,0
25,110000,2,3,2,6000,8.49,0.05,0
30,48000,2,3,0,2500,11.99,0.05,0
23,24000,0,4,3,3500,14.11,0.14,1
31,47000,0,2,2,6000,9.63,0.13,1
31,55000,0,2,2,7500,6.03,0.14,0
25,55000,0,1,2,10000,7.88,0.18,0
32,30000,0,2,0,7000,9.99,0.23,1
29,36000,0,4,0,12000,11.36,0.33,1
27,25200,0,0,1,8000,13.23,0.32,1
22,65000,0,2,1,10000,13.49,0.15,0
38,80000,2,5,0,21000,10.59,0.26,0
38,130000,2,3,0,30000,9.91,0.23,0
26,65000,2,2,2,9600,7.49,0.15,0
23,40000,1,1,0,5000,12.53,0.13,0
30,44000,0,1,1,3500,12.23,0.08,0
24,38400,0,0,2,4500,7.88,0.11,0
22,75000,0,0,0,8000,12.53,0.11,0
29,120000,2,1,2,10000,7.29,0.08,0
29,88000,0,0,2,10000,6.54,0.11,0
